,timestamp,open,high,low,close,volume
0,2020-06-26 15:30:00,116.88,117.62,116.52,117.26,909348
1,2020-06-26 14:30:00,117.02,117.2,116.5,116.87,415996
2,2020-06-26 13:30:00,117.33,117.53,116.94,117.06,235048
3,2020-06-26 12:30:00,117.035,117.4382,116.89,117.32,220001
4,2020-06-26 11:30:00,116.41,117.13,116.26,117.0401,334895
5,2020-06-26 10:30:00,117.07,117.35,116.3,116.4,437708
6,2020-06-26 09:30:00,118.26,118.99,116.8,117.0987,459502
7,2020-06-25 15:30:00,118.65,119.17,118.21,119.17,554492
8,2020-06-25 14:30:00,117.43,118.81,117.09,118.675,442589
9,2020-06-25 13:30:00,117.66,117.85,117.16,117.4142,340952
10,2020-06-25 12:30:00,117.29,117.948,117.18,117.68,412779
11,2020-06-25 11:30:00,116.9,117.34,116.25,117.245,509741
12,2020-06-25 10:30:00,118.5,118.57,116.5,116.86,665170
13,2020-06-25 09:30:00,116.36,118.7,116.1,118.5,1645611
14,2020-06-24 15:30:00,116.95,117.14,116.31,116.48,748368
15,2020-06-24 14:30:00,117.15,117.3973,116.7138,116.93,550359
16,2020-06-24 13:30:00,116.64,117.22,116.211,117.17,442289
17,2020-06-24 12:30:00,116.91,117.255,116.625,116.65,421747
18,2020-06-24 11:30:00,116.67,117.05,115.88,116.89,720780
19,2020-06-24 10:30:00,117.45,117.46,116.4285,116.67,717757
20,2020-06-24 09:30:00,118.32,118.32,116.82,117.455,1484583
21,2020-06-23 15:30:00,119.57,119.84,119.28,119.41,765158
22,2020-06-23 14:30:00,119.79,119.83,119.23,119.57,713911
23,2020-06-23 13:30:00,120.8042,120.82,119.72,119.79,809297
24,2020-06-23 12:30:00,121.23,121.26,120.64,120.805,552847
25,2020-06-23 11:30:00,121.689,121.6988,120.83,121.225,480529
26,2020-06-23 10:30:00,122.07,122.07,120.89,121.67,532995
27,2020-06-23 09:30:00,122.01,122.9,121.54,122.06,895820
28,2020-06-22 15:30:00,121.12,121.27,120.9,121.01,695230
29,2020-06-22 14:30:00,121.03,121.68,120.97,121.1119,358851
30,2020-06-22 13:30:00,121.0889,121.34,120.8038,121.025,341773
31,2020-06-22 12:30:00,121.09,121.53,120.96,121.1,303407
32,2020-06-22 11:30:00,120.76,121.3965,120.53,121.09,537993
33,2020-06-22 10:30:00,122.09,122.11,120.585,120.73,509888
34,2020-06-22 09:30:00,122.1594,123.6919,122.0158,122.1294,668307
35,2020-06-19 15:30:00,123.44,123.53,122.46,122.46,781722
36,2020-06-19 14:30:00,122.85,123.87,122.6,123.42,393667
37,2020-06-19 13:30:00,122.95,123.23,122.25,122.86,435037
38,2020-06-19 12:30:00,122.89,123.84,122.77,122.96,370039
39,2020-06-19 11:30:00,125.015,125.12,122.78,122.88,464044
40,2020-06-19 10:30:00,125.61,125.92,124.74,125.0148,343423
41,2020-06-19 09:30:00,126.17,126.77,125.32,125.59,1398845
42,2020-06-18 15:30:00,123.66,124.29,123.56,124.14,337869
43,2020-06-18 14:30:00,123.77,123.93,123.24,123.66,300338
44,2020-06-18 13:30:00,123.555,123.97,123.32,123.725,265347
45,2020-06-18 12:30:00,123.54,123.66,123.12,123.5585,196663
46,2020-06-18 11:30:00,123.58,123.69,123.01,123.555,256784
47,2020-06-18 10:30:00,124.05,124.4,123.482,123.6,295061
48,2020-06-18 09:30:00,123.0,124.24,122.33,123.99,440158
49,2020-06-17 15:30:00,124.29,124.44,123.89,124.15,383071
50,2020-06-17 14:30:00,125.16,125.46,124.025,124.265,339038
51,2020-06-17 13:30:00,125.7502,125.88,125.02,125.15,195029
52,2020-06-17 12:30:00,124.9,125.81,124.89,125.74,186556
53,2020-06-17 11:30:00,124.535,125.0758,124.38,124.9209,185438
54,2020-06-17 10:30:00,123.6,125.18,123.4,124.55,318920
55,2020-06-17 09:30:00,125.59,126.17,123.44,123.59,698368
56,2020-06-16 15:30:00,124.86,125.32,124.36,125.275,521004
57,2020-06-16 14:30:00,125.3,125.69,124.31,124.88,364438
58,2020-06-16 13:30:00,125.91,126.03,124.92,125.32,362404
59,2020-06-16 12:30:00,125.65,126.42,125.63,125.93,346907
60,2020-06-16 11:30:00,125.51,126.01,124.96,125.65,355397
61,2020-06-16 10:30:00,126.8634,128.1196,124.3534,125.488,637140
62,2020-06-16 09:30:00,125.0,127.5,124.97,126.8,1339675
63,2020-06-15 15:30:00,121.09,121.69,120.27,121.67,545148
64,2020-06-15 14:30:00,122.1,122.17,121.0471,121.05,346969
65,2020-06-15 13:30:00,120.53,122.367,120.06,122.01,390699
66,2020-06-15 12:30:00,119.81,120.94,119.56,120.54,372644
67,2020-06-15 11:30:00,119.21,120.07,118.6,119.8101,411051
68,2020-06-15 10:30:00,118.74,119.73,118.34,119.24,568264
69,2020-06-15 09:30:00,119.19,119.95,118.29,118.74,977495
70,2020-06-12 15:30:00,120.83,122.07,120.56,121.93,693515
71,2020-06-12 14:30:00,120.16,121.74,120.02,120.81,383448
72,2020-06-12 13:30:00,120.715,120.821,119.28,120.156,430212
73,2020-06-12 12:30:00,121.85,121.92,120.5799,120.705,324664
74,2020-06-12 11:30:00,120.561,122.415,120.48,121.86,465142
75,2020-06-12 10:30:00,121.97,122.0,119.87,120.56,1075416
76,2020-06-12 09:30:00,121.25,123.12,121.17,121.95,1317838
77,2020-06-11 15:30:00,118.0855,118.85,117.8352,118.06,1504044
78,2020-06-11 14:30:00,119.075,119.13,118.0,118.09,1271008
79,2020-06-11 13:30:00,119.79,119.84,118.61,119.06,899609
80,2020-06-11 12:30:00,120.45,120.99,119.45,119.8,989648
81,2020-06-11 11:30:00,122.3,122.46,120.36,120.48,1058972
82,2020-06-11 10:30:00,123.54,123.83,122.27,122.31,1430844
83,2020-06-11 09:30:00,126.03,126.1,123.12,123.54,1850087
84,2020-06-10 15:30:00,130.77,130.81,129.8,129.82,588804
85,2020-06-10 14:30:00,131.69,131.69,129.915,130.76,705698
86,2020-06-10 13:30:00,130.73,131.881,130.26,131.6559,376808
87,2020-06-10 12:30:00,131.195,131.265,130.6069,130.71,241413
88,2020-06-10 11:30:00,130.93,131.407,130.69,131.2,335259
89,2020-06-10 10:30:00,130.95,131.5,130.58,130.92,372209
90,2020-06-10 09:30:00,132.15,132.23,130.6,130.98,779390
91,2020-06-09 15:30:00,132.74,132.75,131.84,131.86,612940
92,2020-06-09 14:30:00,131.95,132.92,131.93,132.74,332032
93,2020-06-09 13:30:00,132.08,132.31,131.795,131.96,370429
94,2020-06-09 12:30:00,131.4,132.095,131.26,132.07,296214
95,2020-06-09 11:30:00,132.0,132.14,131.07,131.4,372569
96,2020-06-09 10:30:00,131.68,132.64,131.41,132.04,536095
97,2020-06-09 09:30:00,133.52,133.6,131.02,131.68,1157290
98,2020-06-08 15:30:00,134.955,135.88,134.95,135.83,753482
99,2020-06-08 14:30:00,135.23,135.23,134.81,134.955,386730
100,2020-06-08 13:30:00,134.705,135.27,134.51,135.24,624578
101,2020-06-08 12:30:00,134.37,134.7789,134.305,134.705,399801
102,2020-06-08 11:30:00,133.99,134.7,133.89,134.38,377516
103,2020-06-08 10:30:00,133.36,134.15,133.16,134.005,430117
104,2020-06-08 09:30:00,132.27,134.34,132.27,133.34,787908
105,2020-06-05 15:30:00,132.6208,132.65,131.75,132.09,550237
106,2020-06-05 14:30:00,133.31,133.39,132.19,132.64,525231
107,2020-06-05 13:30:00,133.59,133.63,133.0,133.3,370093
108,2020-06-05 12:30:00,132.63,133.5966,132.62,133.59,470613
109,2020-06-05 11:30:00,132.75,132.98,132.2,132.58,540745
110,2020-06-05 10:30:00,132.45,132.98,131.83,132.73,611130
111,2020-06-05 09:30:00,133.885,134.2,132.29,132.45,1161896
112,2020-06-04 15:30:00,127.97,128.95,127.96,128.91,489881
113,2020-06-04 14:30:00,128.23,128.41,127.7204,127.97,439482
114,2020-06-04 13:30:00,127.65,128.19,127.65,128.18,272533
115,2020-06-04 12:30:00,128.04,128.25,127.61,127.63,309293
116,2020-06-04 11:30:00,127.5,128.09,127.35,128.0463,229837
117,2020-06-04 10:30:00,127.46,127.85,127.02,127.4301,467182
118,2020-06-04 09:30:00,127.78,128.16,127.17,127.46,563706
